time,cpu_usage,memory_usage,cpu_interrupts,cpu_calls,memory_used,memory_free,bytes_sent,bytes_received,disk_usage,gpu_utilization,gpu_memory,gpu_temperature,power_consumption
2024-09-13 13:39:05.881433,7.9,86.8,587879394,412854871,7126704128,1088356352,4943201,79457315,84.5,,,,
2024-09-13 13:39:26.570861,7.4,86.9,588180209,413025134,7139647488,1075412992,4962831,79463304,84.5,,,,
2024-09-13 13:39:42.358893,8.4,88.4,588461009,413189859,7262818304,952242176,4993712,79489303,84.5,,,,
2024-09-13 13:39:58.114301,7.7,88.6,588731305,413344886,7277613056,937447424,5027387,79532282,84.5,,,,
2024-09-13 13:40:14.842593,2.8,87.9,588822693,413396262,7218647040,996413440,5048656,79587668,84.5,,,,
2024-09-13 13:40:31.527166,5.7,88.9,589005830,413501912,7303811072,911249408,5070650,79615555,84.5,,,,
2024-09-13 13:40:47.226125,5.5,90.1,589215349,413626496,7398268928,816791552,5093152,79646775,84.5,,,,
2024-09-13 13:41:02.927317,13.9,93.3,589531482,413841183,7665438720,549621760,5114503,79667230,84.5,,,,
2024-09-13 13:41:19.720461,7.1,92.9,589707515,413941640,7635238912,579821568,5143755,79720021,84.5,,,,
2024-09-13 13:41:35.438210,10.3,88.5,589922150,414078991,7266816000,948244480,5209516,79761726,84.5,,,,
2024-09-13 13:41:51.163441,8.0,88.7,590114514,414195431,7287853056,927207424,5271522,79792753,84.5,,,,
2024-09-13 13:42:07.894107,6.7,90.4,590256458,414277252,7423762432,791298048,5282479,79812638,84.6,,,,
2024-09-13 13:42:24.598376,6.6,89.0,590422714,414364642,7310909440,904151040,5290091,79821725,84.6,,,,
2024-09-13 13:42:40.287690,8.3,91.0,590630842,414487783,7474614272,740446208,5334713,79867286,84.6,,,,
2024-09-13 13:42:55.985640,7.4,90.8,590845373,414618674,7461638144,753422336,5366227,80263529,84.6,,,,
2024-09-13 13:43:12.723608,10.0,91.1,591160746,414805866,7480729600,734330880,5500674,83143722,84.6,,,,
2024-09-13 13:43:28.424038,5.9,90.7,591302207,414892005,7447728128,767332352,5543077,83269953,84.6,,,,
2024-09-13 13:43:44.181172,7.4,86.4,591459986,414987228,7094198272,1120862208,5549396,83272776,84.6,,,,
2024-09-13 13:44:00.901488,6.6,85.8,591648197,415097290,7045804032,1169256448,5563535,83297908,84.6,,,,
2024-09-13 13:44:17.659456,7.1,86.3,591861659,415219812,7089049600,1126010880,5615083,83326148,84.6,,,,
2024-09-13 13:44:33.363497,8.7,86.9,592158426,415401003,7141003264,1074057216,5647829,84009117,84.6,,,,
2024-09-13 13:44:49.053723,8.0,88.4,592471592,415589439,7259475968,955584512,5689105,85370111,84.6,,,,
2024-09-13 13:45:05.764308,8.8,86.7,592760682,415764290,7125942272,1089118208,5815008,85901747,84.6,,,,
2024-09-13 13:45:21.472654,12.4,87.2,593060950,415950631,7162220544,1052839936,6076694,89963002,84.6,,,,
2024-09-13 13:45:37.146845,8.7,87.3,593313988,416107516,7173988352,1041072128,6230322,98620433,84.6,,,,
2024-09-13 13:45:52.929725,8.1,87.8,593479291,416221174,7215132672,999927808,6257294,99901024,84.6,,,,
